82,"Cho, Jonah",A17 / 83 ,LAIFC ,Southern CA ,USA ,3 ,0.50 ,23 ,23 ,0 ,Advanced
83,"Fafard, Fynn",A18 ,,,CAN ,3 ,0.50 ,20 ,20 ,0 ,Advanced
84,"Wilson, Sean",A18 / 23 ,ALLIANCEFA ,Capitol ,USA ,3 ,0.50 ,24 ,25 ,-1 ,Advanced
85T,"House, Alex",A17 / 49 ,FENCERSCLUB ,New Jersey ,USA ,3 ,0.50 ,23 ,24 ,-1 ,Advanced
85T,"Bissinger, Michael",A18 / 62 ,ALLIANCEFA ,Gulf Coast ,USA ,3 ,0.50 ,23 ,24 ,-1 ,Advanced
87,"Zhang, Joshua",A18 / 110 ,NYAC ,Long Island ,USA ,3 ,0.50 ,18 ,19 ,-1 ,Advanced
88T,"Miller, Finn",A18 / 68 ,MEDEOFC ,New Jersey ,USA ,3 ,0.50 ,23 ,25 ,-2 ,Advanced
88T,"Cole, Elias",A16 ,NYAC ,West-Rock ,USA ,3 ,0.50 ,23 ,25 ,-2 ,Advanced
90T,"Kim, Derek",A18 ,FSA INC ,Virginia ,USA ,3 ,0.50 ,20 ,22 ,-2 ,Advanced
90T,"Lombardo, Theodore",A18 / 11 ,NYAC / FAW ,West-Rock ,USA ,3 ,0.50 ,20 ,22 ,-2 ,Advanced
92,"Munlin, Donovan",A18 ,PREMFENCALL ,Georgia ,USA ,3 ,0.50 ,23 ,26 ,-3 ,Advanced
93T,"Ana, Ionut",A17 / 107 ,HOOKEDOFENC ,Northern OH ,ROU ,3 ,0.50 ,19 ,23 ,-4 ,Advanced
93T,"Bogert, James BRETT",A18 ,NJIOT-NCAA ,Gateway FL ,USA ,3 ,0.50 ,19 ,23 ,-4 ,Advanced
95,"Kumashi, Mihir",B17 ,ALLIANCEFA ,Gulf Coast ,USA ,3 ,0.50 ,19 ,25 ,-6 ,Advanced
96,"Temiryaev, Alan",A18 / 21 ,NYFA ,Long Island ,USA ,3 ,0.50 ,16 ,22 ,-6 ,Advanced
97,"Kimatian, Harrison",A17 / 97 ,HOOKEDOFENC ,North TX ,USA ,2 ,0.40 ,21 ,19 ,+2 ,Advanced
98,"Szabo, Benedek",A17 ,,,CAN ,2 ,0.40 ,18 ,20 ,-2 ,Advanced
99,"Watson, Adam",A15 ,NYAC ,Metro NYC ,USA ,2 ,0.33 ,24 ,21 ,+3 ,Advanced
100,"Park, Thomas Junseo",A17 / 99 ,BATTLEBORNFC ,Southern CA ,CAN ,2 ,0.33 ,25 ,25 ,0 ,Advanced
101,"Lawson, Nicholas",A18 ,FENCERSCLUB ,Metro NYC ,USA ,2 ,0.33 ,23 ,23 ,0 ,Advanced
102,"Zeller, Zachary",A16 ,NOTREDAME ,Nevada ,USA ,2 ,0.33 ,25 ,26 ,-1 ,Advanced
103,"Tafoya, Devin",A18 / 71 ,NCOFENCERS / DENVERFC ,Colorado ,USA ,2 ,0.33 ,24 ,26 ,-2 ,Advanced
104,"Hanahan, Nicholas",A17 / 19 ,UNAT / NOTREDAME ,Indiana ,USA ,2 ,0.33 ,23 ,25 ,-2 ,Advanced
105,"Keller, Kai-Moritz",A16 / 65 ,NYAC ,Metro NYC ,USA ,2 ,0.33 ,22 ,24 ,-2 ,Advanced
106,"Ra, Daniel",A18 ,FENCERSCLUB ,West-Rock ,USA ,2 ,0.33 ,25 ,28 ,-3 ,Advanced
107,"Lee, Woosuk",A18 ,FSA INC ,Virginia ,USA ,2 ,0.33 ,23 ,26 ,-3 ,Advanced
108,"Hsieh Jarov, Seraphim",A17 / 88 ,,,CAN ,2 ,0.33 ,22 ,25 ,-3 ,Advanced
109,"Geraghty, Michael",A18 ,IMASTERS ,Georgia ,IRL ,2 ,0.33 ,21 ,24 ,-3 ,Advanced
110T,"Bogert, Alexander BRYCE",A18 ,,Gateway FL ,USA ,2 ,0.33 ,23 ,27 ,-4 ,Advanced
110T,"Wieder, Benjamin",B17 / 64 ,NYAC / MEDEOFC ,New Jersey ,USA ,2 ,0.33 ,23 ,27 ,-4 ,Advanced
110T,"Elsayed, Mohamed",B14 ,,,EGY ,2 ,0.33 ,23 ,27 ,-4 ,Advanced
113,"Jones, Simon",A16 / 46 ,MARXFENCING / BROWNUNCAA ,New England ,USA ,2 ,0.33 ,22 ,26 ,-4 ,Advanced
114,"Bradford, Jack",A18 / 61 ,OSUNCAA ,Columbus OH ,USA ,2 ,0.33 ,19 ,23 ,-4 ,Advanced
115,"Mechkov, Iliya",A18 ,BAY STATE ,Illinois ,BUL ,2 ,0.33 ,17 ,21 ,-4 ,Advanced
116,"Vaysberg, Nathan",A18 / 42 ,NYFA ,Metro NYC ,USA ,2 ,0.33 ,21 ,26 ,-5 ,Advanced
117,"Lee, Aaron",A18 ,BATTLEBORNFC / LAIFC ,Nevada ,USA ,2 ,0.33 ,20 ,25 ,-5 ,Advanced
118T,"Cox, Matthew",B14 ,,National ,USA ,2 ,0.33 ,21 ,27 ,-6 ,Advanced
118T,"Neu, Matthew",A17 ,DCFENCERS ,Capitol ,USA ,2 ,0.33 ,21 ,27 ,-6 ,Advanced
120,"Yoon, Sungho",A18 ,FSA INC ,Virginia ,USA ,2 ,0.33 ,19 ,25 ,-6 ,Advanced
121,"Nair, Tarun",A17 / 115 ,ALLIANCEFA ,Gulf Coast ,USA ,2 ,0.33 ,18 ,24 ,-6 ,Eliminated
122,"Ajnsztajn, Alec",A17 ,DUKEUNIVNCAA / MEDEOFC ,New Jersey ,,2 ,0.33 ,17 ,23 ,-6 ,Eliminated
123,"Werrell, Jack",A18 / 80 ,MORRISFC ,New Jersey ,USA ,2 ,0.33 ,20 ,27 ,-7 ,Eliminated
124,"Zwegers, Alexander",B18 ,,,CAN ,2 ,0.33 ,19 ,26 ,-7 ,Eliminated
125,"Beach, Nicholas",C18 ,FOOTHILLSFA ,S. Carolina ,USA ,2 ,0.33 ,18 ,25 ,-7 ,Eliminated
126,"Bell, Jack",B17 ,NYFA ,,GBR ,2 ,0.33 ,17 ,24 ,-7 ,Eliminated
127,"Mancini, Christopher",B17 ,ISLANDFC ,Long Island ,USA ,2 ,0.33 ,17 ,25 ,-8 ,Eliminated
128,"Abdallah, Ahmed",A14 ,,New Jersey ,EGY ,2 ,0.33 ,15 ,25 ,-10 ,Eliminated
129,"Yu, Colin",A18 ,MARXFENCING ,New England ,USA ,2 ,0.33 ,17 ,28 ,-11 ,Eliminated
130,"Koch, Samuel",A18 / 33 ,BROWNUNCAA / GOLDENGATEFC ,Northern CA ,USA ,1 ,0.20 ,15 ,24 ,-9 ,Eliminated
